Date,Profile impressions,Shares,Engagement,Profile visits,Profile reach,Reel shares,New followers,RowHash
05/11/2024,40215,0,0,0,36089,0,,471d3013b0d647dafee7d57ff7ed640b77b542e1af0169999dbd65f87270c8d5
04/11/2024,29733,2,196,0,25422,2,,42db6c4dd148928ae5ceaf2146d35ab69003ea9af6bde19a13b7a5b9767fc138
03/11/2024,42762,0,0,0,34232,0,,5f7263a3a4faa2f83b2a10495f3e4464015118c763a2727c5e637c36d74563e7
02/11/2024,33998,4,301,0,31271,4,,19da4c818609aaada1c80ef909e5a2528702e7c4f0045da0b4c9f55721899f56
01/11/2024,17648,0,0,0,15320,0,,c71c026c0ff7b6c2da2fe78d958e3c91b12a98e29e0ae923f01f72afe4da249a
31/10/2024,14284,0,0,0,12902,0,,895e1cb4b0edbb41baeff627afc7dcd006b9b03e7e9ad381026d6e47359852f5
30/10/2024,306,0,0,0,240,0,,43fe601260d278acdd828f00d861eeb36c0f61e5536205776bcf9f8c113a7806
29/10/2024,261,0,0,0,189,0,,c71031ded2d7004293222013bb2f9ba8d3809862e91789997d75f54ca05fbcbe
28/10/2024,389,0,0,0,262,0,,f8c9f72ee3774e1826d59485ce411e5f4b3df7e9a3adb2abfa7f9d6de0847a93
27/10/2024,482,0,0,0,257,0,,3e29dd0ce95804b98d9d5700dfbb879a379d0606e7945324fd3720c281aab194
26/10/2024,252,0,0,0,173,0,,5f82bc03239b9a4ac69b380efb000ba041b7643c064aa9e323e7c4dd9315e1eb
25/10/2024,277,0,0,0,162,0,,2bbe24e5b7cf3c23f8aaf53deae2e97b0d14fdd77da104f615c74a8577c78cbe
24/10/2024,463,0,0,0,341,0,,5a958858636620f4d007498c8e1bb89411834086dfc89522a06f5bf17d01237c
23/10/2024,857,0,0,0,650,0,,8e067d36447d6c73d2e58a911af1d5f0fc63805c75b3b585bf9be0639dc67587
22/10/2024,2114,0,317,0,1768,0,,c2dd7e6af9f40d1a70c7aad3a05fb6127ef871d390f45b2d216178a5a96a9747
21/10/2024,389,0,0,0,333,0,,dda25fb28cb3aafd6bfa65b7fbfeb104e95ff12d6763b222fcbdb088ee0cf7ea
20/10/2024,954,0,0,0,779,0,,da9c71ecaa35fee658156a2b3bc52a1cb42b562e3c10d832163fcbf29f9b9833
19/10/2024,236,0,0,0,158,0,,a89d49c8e7a09961866fa278b89f652a388b3a34afe68c64211e6e0f57179eb0
18/10/2024,187,0,0,0,128,0,,3b56849ea8cded2834c9a5f75d6951990fdfea7d91aedd6112ef8ca0055d1471
17/10/2024,211,0,0,0,133,0,,13344d5f06e33cd095047588627aa68d476f25304d06e74bfd4759cc684d60c5
16/10/2024,216,0,0,0,130,0,,97c8434cfe315ebc76cda39128ba6a09dd16a76d4837ff90c35f52e0ef3ef18b
15/10/2024,255,0,0,0,155,0,,f9ebb282471b33066c9eee3d515ecb65dd48a2eafa494dd1d5cc789bd4a25b2a
14/10/2024,252,0,0,0,174,0,,dd77a8546360bafd889a0912c9dca9e4e627036794c0c9c13661063f867a6d53
13/10/2024,319,0,0,0,180,0,,eac4558daad41372c41d65cc831f687cce1ad866385508447faa61cc50ae2c51
12/10/2024,247,0,0,0,154,0,,96c2d10e5690f3a4fcff63a32860015f88737ea74ea839585c2bcc9991e72749
11/10/2024,268,0,0,0,147,0,,75a002ae36b71391e1077fbb6d71367663b9322161de786563217cf51e7e2470
10/10/2024,222,0,0,0,129,0,,1da9bd217a80a2d33200c49b2fc9da3561789fc69305da018524cd3a177303b7
09/10/2024,294,0,0,0,148,0,,f6cce74fc8ec2e7152cb4deddb98159e62333d405b52a2643d86f4313f845484
08/10/2024,276,0,0,0,173,0,,4fea8e1b2ba2728ba88cec0461cf5d05eb0c18847f869baa83b06c2d8a88f5cf
07/10/2024,204,0,0,0,139,0,,3451334e70026f0451c66ed0d2cde395c0f112bd262efef7e7e588d2433f9617
06/10/2024,275,0,0,0,179,0,,a18e2d34f2e14154b0c694a3e101c578434f69a41c7fffd22dac4d7cfcb0024b
05/10/2024,366,0,0,0,273,0,,18e3b52c5c282b5b72142e35b30a105a22234c1d412450e6c68ab0d0f18196e0
04/10/2024,424,0,0,0,327,0,,ba478ee5a36c18420065a8612544530ff180c366af560593757341c172e86143
03/10/2024,329,0,0,0,234,0,,69eb7851f048d0802cb9acd908be779d9cbbd937bfd6a2224d1243b32d283cb4
02/10/2024,403,0,0,0,279,0,,dfa89bfbadf10b16cef0601898aeadc9b78234828f8392f665d5577b1b6e32ce
01/10/2024,442,0,0,0,314,0,,63e67f11b25c5d865fbdeb5bbd6c004470a36b5d734e3d219da624066949ee71
30/09/2024,494,0,0,0,343,0,,c1e75a8a2e9c7bd7bdedee8ebea76c82251ab43ed3dd2b7eb67fe433acfd88d7
29/09/2024,636,0,0,0,425,0,,a836db6e6a6aa00800224ed3abbcaed33305a0477898b2e5b0a9b01cc517f83f
28/09/2024,445,0,0,0,267,0,,b783d3acd3ea6aa7c09ae8c3c5b6de4577f390e1ee538db34d1dbadec1c5efd5
27/09/2024,272,0,0,0,185,0,,aa8c705e863a107e75d3344df06dc9c46e871450d7f861d5dfdeac7eaa43df74
26/09/2024,324,0,0,0,232,0,,554f23fe19336c6337ebffa553ab5279f7f6f0e6bcb1149e8547072fc19b3e0b
25/09/2024,664,0,0,0,488,0,,85b07d90540db061fa9b25ba5e81e4359e2a6227d6a5f60d00d51e136dc0fc43
24/09/2024,676,0,0,0,497,0,,7ea95e4c12cf64fc9079d6a04d945e0cc2e485c96f77f5cfe977244372bbac5f
23/09/2024,1097,0,0,0,750,0,,c16b192a6a33bfc5b6e42714e730613403f239cbd619ed253b68f391f9d7a31f
22/09/2024,1175,0,0,0,879,0,,a11228b1cda500b8d9b20766cc5ab0ffb2a7e768bfd502f07a18fe4487a8cfe5
21/09/2024,737,0,0,0,588,0,,d12cd16c461bd019443ab0833f55bfff57b3b180e9bc8914256bc1eb520d90b5
20/09/2024,1110,0,0,0,855,0,,2fd9941950dd127cd2b63b49d719483a6d615cb61d311323b79a2f5b60caa6c8
19/09/2024,804,0,0,0,674,0,,3543f21d3ed1f329db4e0e1733774ea6a7c8779182b9a8e19bb5e64a40b4a637
18/09/2024,3455,0,0,0,3099,0,,31bc30d53ebb5aa875a4859bc851025a623cca2a88c49fe7e5a03ca9de6aa275
17/09/2024,3713,0,0,0,3360,0,,5f443ec0b7a241423536095450f24af8555401bb164796679e7140a3eadb453b
16/09/2024,3888,0,0,0,3477,0,,91a8d0992da49b9172f25ed7d8f706dd655b58d645f94ec1c5015ecb9ea14bea
15/09/2024,3036,0,0,0,2630,0,,9ebca1eb10f20718ba2df4cea90a090fcc74e4a8b9722c6fcff6e23da20c0d35
14/09/2024,3176,0,0,0,2831,0,,8335c738d32e915b326ca564fdd334d10d12ca44bbf19e4ece44f51f8e30be07
13/09/2024,3096,0,0,0,2738,0,,4f505a2d6c3ea2b3dd97c6e7d0bc109fc9f72985021cbd08a92fde36940b92ea
12/09/2024,7065,0,0,0,6492,0,,5cf37386ad3bf6622b09ab6028c7cfb48f05e190921a876f1cb3ba95209bccca
11/09/2024,12450,0,0,0,11288,0,,2b29b37b13cfc84a3670da9695e063aeb8d76c9cf37b483315ea4a853e50311d
10/09/2024,31979,0,345,0,29439,0,,7b078e71f90abfadcea7ee8687083e43a5905496e873d52a1f9bada20552035b
09/09/2024,39709,0,115,0,36423,0,,99523faba39a12b4e8a5e6cf7d654ca4daf51426dd0ee35b429eea9a6405abac
08/09/2024,45973,0,145,0,39901,0,,e8f76fac4988258284c707642f203d2a36b5fae9c1dd7fceb2790cd4693495e3
07/09/2024,50499,0,102,0,46180,0,,a9abdc3fd531f562d7f6698ea653e6fb1fe72644c28bfe7b1a12f042633ea6cb
06/09/2024,38807,0,121,0,34902,0,,ffd9abb60aefbb4aab032caa8c43e394392e0b424300501d288d70887a9ce12d
05/09/2024,38647,0,236,0,33211,0,,3ded9e1a1beda649d63acede59f926922ea0dfe2716b00bdae0a76fdbda20b66
04/09/2024,28298,0,64,0,23670,0,,79f356699d2bd66c9dba7620c0b4dbff96679b432d18980a87c4ad74a103d92a
03/09/2024,10396,0,74,10,8699,0,,b51b89aeb3154a49b83bf4dcb7aaf37d8f74ef9711ca83db1d8d7764068a4b81
02/09/2024,8247,0,122,0,6795,0,,35739b3bb563aa578b093abc4e05cd9e35dac4a42b05f21bd8d09610bcc5d30e
01/09/2024,8772,0,298,0,6701,0,,ed39badeae9f5841ff8bca969ca479a02387dba005f861d707557fa7032a0eaf
31/08/2024,3796,0,446,0,3076,0,,cb3cf0b0a2ea4a8cd5af07a40f19820831b1ac30de5571fa3810eed5eb4dfae9
30/08/2024,1517,0,196,0,1314,0,,1a5aa4decdc798278416439a37d2b434d01fe7bca10b873e401bfcb6fcf21c24
29/08/2024,203,0,0,0,149,0,,c37557151868f7025bb065b12e78bbab57b1644fa157189437023fe9b093161b
28/08/2024,463,0,0,0,359,0,,c86633072bd633d1b6224f39365e41243de6bfdfb8998b68a9eebee29194bf49
27/08/2024,723,0,0,0,623,0,,584f4db14340dd9133fd73b7d5498901e29a6721986156fb9ac0fc2eb2d10aa0
26/08/2024,367,0,0,0,206,0,,e0d9105c9b7f27f737b88feb16f92017676dcdf3e3c2257711d58220d616e49d
25/08/2024,408,0,0,0,292,0,,0d8d2e5be39057d285d98abc2ed07ebbce2b111bf747f7f0f238cafc9d54cefd
24/08/2024,353,0,0,0,201,0,,e17409a17dd062539e294db5b65954495753aa21548e3505155d5ede7d041c74
23/08/2024,234,0,0,0,143,0,,e130afd481faa0b872ec064091442443d5ae37c07d5b5824d3a3a734648e84a3
22/08/2024,242,0,0,0,166,0,,e9dcd1a8dc621fed620dd9289bfffbd70dd937ff7750daef52eb14291cd2b733
21/08/2024,344,0,0,0,211,0,,0f3a00ba4aa7064796add4239404c006e19947bfd671a68099220295c9837b15
20/08/2024,303,0,0,0,181,0,,f8ce9bd19bfd5d4d227f895363f37eebf160043417ec397d8b0608a6d4400456
19/08/2024,326,0,0,0,214,0,,242663c54d66fa46358f55af4369f936a1644412c789061123ef370d99689320
18/08/2024,608,0,0,0,420,0,,e60dfbe1e092425cf57fbaf5783f3c3adef07dbb8c453afd1ed8720dd5c3265a
17/08/2024,635,0,0,0,503,0,,81aab8fcbb9f2a958e134f65c02bd465a7cd451f9a6513cf3389f0bc018e75bc
16/08/2024,1291,0,128,0,990,0,,4e5d82affed4d997985e61f0da34a55a1ae86f18ed8b5c46784a785c27066614
15/08/2024,574,0,78,0,471,0,,643c3346f4e454d9022b1a28a1ad5b644c8c4789420b9359b7496e4107a36abe
14/08/2024,508,0,0,0,361,0,,d711caee747915420d0b54b6bdb862f6f6b8cb4f7a64c3e27ce763c3e1680aa9
13/08/2024,1266,1,46,0,1100,1,,bd75dd12de70b42e1200f6af18fd862b8fdf1713f59f01cf6f4c27426ff4212b
12/08/2024,1203,1,65,1,972,0,,e351d9400fd302ae941540f2431ced781a6fdac2a2ac817a13bcdc7c15b45c72
11/08/2024,1441,1,61,7,1242,0,,53a373be85cf39a8b8033135ae6c599d06fdc428183bdc497ad2110537003722
10/08/2024,839,0,0,0,632,0,,14fd328698f48602ff90df97f92d7bbe84438671b46a5c8c205dbf7c57f920d5
09/08/2024,1620,0,149,0,1232,0,,3668d36e69ec65d96f716e328d17a953f6b72eca619c8e09d577e045c2273878
08/08/2024,1271,0,237,0,1085,0,,81dd1f6eff51fffbc2f24c5c1e4a3a4d75846312ccad21668b7f6fd4eecfc308
07/08/2024,598,0,0,0,497,0,,8f0483e6379eedb65f789af2b83187a55cf5be4932bbde28a3005e39933e144c
06/08/2024,1532,0,53,4,1341,0,,5eb9c3bb7abef3d154a922ec24b633fe2feca7faa83a43b4db74481a63f38804
05/08/2024,2978,2,218,0,2480,2,,1ed74e700c7cbe1f4f4933adb25296eb1a547b125eb74e507a68241243882c9e
04/08/2024,1452,0,15,0,1071,0,,c253f79caf8e0be26fa15f929d02d6807625f1bdefd02d8c3da81b1eba647991
03/08/2024,2277,0,204,0,1497,0,,0c518c25e1bff777ce2a3dcdb6dab818ae0c9d9b3b0551a6cb53dd8e6e7b07fb
02/08/2024,5030,9,438,0,4010,9,,2701206c1051403a4af40be8a72e81ade4d096ceddbff6c799c6c87935461079
01/08/2024,1295,0,94,0,1010,0,,2dbf359d5f703de665884f156bf124e5bd27885728a40b9ce3a6cb124c447b96
31/07/2024,1156,0,21,0,917,0,,936a55a8755062370c9890c10fbb9996efaaa9a6f4db236e810073cbca4833b7
30/07/2024,1639,0,0,0,1432,0,,0ef587a10c6652d52e0e8d50ab318bc8557b144e48d2d21f8f61363a1505bc36
